Name,Rating,Reviews,Price,Category,Address,Hours,Services,URL
Narasus Coffee,4.6,25,N/A,Coffee shop,Chromepet Railway Station Rd,Open · Closes 9 pm,Takeaway,https://www.google.com/maps/place/Narasus+Coffee/data=!4m7!3m6!1s0x3a525e52eced1551:0x7a6582d3fbe89e04!8m2!3d12.9505719!4d80.1446996!16s%2Fg%2F11c2pp2sv7!19sChIJURXt7FJeUjoRBJ7o-9OCZXo?authuser=0&hl=en&rclk=1
Coffee Day Fresh 'n Ground,4.1,33,N/A,Coffee shop,N/A,Open · Closes 9 pm,N/A,https://www.google.com/maps/place/Coffee+Day+Fresh+%27n+Ground/data=!4m7!3m6!1s0x3a525fadf1667563:0xcd4d4c1e8d2f8edf!8m2!3d12.9514402!4d80.1382553!16s%2Fg%2F1pp2vbkjm!19sChIJY3Vm8a1fUjoR344vjR5MTc0?authuser=0&hl=en&rclk=1
Indian Coffee Shop,3.6,35,N/A,Coffee shop,N/A,Open · Closes 9:30 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Indian+Coffee+Shop/data=!4m7!3m6!1s0x3a525faac9f75b67:0x716a33e46b432117!8m2!3d12.9419416!4d80.1425461!16s%2Fg%2F1ydxc4433!19sChIJZ1v3yapfUjoRFyFDa-QzanE?authuser=0&hl=en&rclk=1
CRESCENT CAFE - Chrompet ( pothys),4.2,6,N/A,Coffee shop,N/A,Open · Closes 10 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/CRESCENT+CAFE+-+Chrompet+%28+pothys%29/data=!4m7!3m6!1s0x3a525f7abf415a93:0x324ce354d9997378!8m2!3d12.9570645!4d80.1428842!16s%2Fg%2F11t_k7dyfn!19sChIJk1pBv3pfUjoReHOZ2VTjTDI?authuser=0&hl=en&rclk=1
Aaladipattiyan Chromepet,4.3,577,N/A,Coffee shop,N/A,Open · Closes 9:30 pm,"Dine-in, Takeaway, Delivery",https://www.google.com/maps/place/Aaladipattiyan+Chromepet/data=!4m7!3m6!1s0x3a525fae67cdfac7:0x4e328f74abaca084!8m2!3d12.950739!4d80.149449!16s%2Fg%2F11j91yjk_m!19sChIJx_rNZ65fUjoRhKCsq3SPMk4?authuser=0&hl=en&rclk=1
Atti Stories,4.4,168,N/A,Coffee shop,N/A,Open · Closes 10:30 pm,Dine-in,https://www.google.com/maps/place/Atti+Stories/data=!4m7!3m6!1s0x3a525f019b623de7:0xa722ec76776359a5!8m2!3d12.9369808!4d80.1406683!16s%2Fg%2F11trvyzh76!19sChIJ5z1imwFfUjoRpVljd3bsIqc?authuser=0&hl=en&rclk=1
Karupatti Raja chrompet,4.8,59,N/A,N/A,N/A,Open · Closes 9 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Karupatti+Raja+chrompet/data=!4m7!3m6!1s0x3a525f0057342311:0xf550a950e5df5132!8m2!3d12.9542069!4d80.1337554!16s%2Fg%2F11y4tw8stv!19sChIJESM0VwBfUjoRMlHf5VCpUPU?authuser=0&hl=en&rclk=1
Relax cafe,4.3,62,N/A,Cafe,N/A,N/A,Dine-in,https://www.google.com/maps/place/Relax+cafe/data=!4m7!3m6!1s0x3a525f0029206eab:0xbd16d54e75e225f!8m2!3d12.955825!4d80.1351219!16s%2Fg%2F11x2b5mrzp!19sChIJq24gKQBfUjoRXyJe51Rt0Qs?authuser=0&hl=en&rclk=1
Cafe Junction,4.9,87,N/A,Coffee shop,"Shop H Door No 3/2, Sabari Complex, Chavadi St",Open · Closes 10 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Cafe+Junction/data=!4m7!3m6!1s0x3a525f5d85e0b4e7:0xcd642def7f9835c1!8m2!3d12.9670462!4d80.1509826!16s%2Fg%2F11kqfj3x6g!19sChIJ57TghV1fUjoRwTWYf-8tZM0?authuser=0&hl=en&rclk=1
Karupatti House,4.1,70,N/A,Coffee store,N/A,Open · Closes 9:30 pm,Delivery,https://www.google.com/maps/place/Karupatti+House/data=!4m7!3m6!1s0x3a525fa3d947230d:0xa96dcfc6920a5275!8m2!3d12.9418436!4d80.1428742!16s%2Fg%2F11lsxx6937!19sChIJDSNH2aNfUjoRdVIKksbPbak?authuser=0&hl=en&rclk=1
CityCafe,4.3,418,N/A,Cafe,"Chrompete, 4, Dr Rajendra Prasad Rd",Open · Closes 10 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/CityCafe/data=!4m7!3m6!1s0x3a525faac76c133b:0xa446a7d501b2afe5!8m2!3d12.9421554!4d80.1419162!16s%2Fg%2F11c6lx8d7y!19sChIJOxNsx6pfUjoR5a-yAdWnRqQ?authuser=0&hl=en&rclk=1
Caf’e de Crave,4.8,56,N/A,Cafe,N/A,N/A,"Dine-in, Takeaway, Delivery",https://www.google.com/maps/place/Caf%E2%80%99e+de+Crave/data=!4m7!3m6!1s0x3a525f2e6df5570b:0xd6f921a49164d130!8m2!3d12.9510058!4d80.1459386!16s%2Fg%2F11w9wd0nfw!19sChIJC1f1bS5fUjoRMNFkkaQh-dY?authuser=0&hl=en&rclk=1
Divine Cacao,4.4,486,N/A,N/A,N/A,Open · Closes 11 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Divine+Cacao/data=!4m7!3m6!1s0x3a525f04f4931771:0xb701524a8afe34a6!8m2!3d12.9425477!4d80.141127!16s%2Fg%2F11rndm1p30!19sChIJcReT9ARfUjoRpjT-ikpSAbc?authuser=0&hl=en&rclk=1
Karupatti Kudil,4.2,708,N/A,Coffee shop,"24, Grand Southern Trunk Rd, near Barbeque Nation",Open · Closes 1 am,"Dine-in, Takeaway",https://www.google.com/maps/place/Karupatti+Kudil/data=!4m7!3m6!1s0x3a525f74b516d7fb:0x7415235065b0dc6a!8m2!3d12.939961!4d80.1307074!16s%2Fg%2F11pdr7h1g5!19sChIJ-9cWtXRfUjoRatywZVAjFXQ?authuser=0&hl=en&rclk=1
Kancheepuram Cafe,3.8,676,N/A,N/A,N/A,Open · Closes 11 pm,"Dine-in, Drive-through",https://www.google.com/maps/place/Kancheepuram+Cafe/data=!4m7!3m6!1s0x3a525d30918ac689:0x3accde98173547b7!8m2!3d12.9549466!4d80.1561658!16s%2Fg%2F11mdppf7qp!19sChIJicaKkTBdUjoRt0c1F5jezDo?authuser=0&hl=en&rclk=1
Rhythm Cafe,5.0,2,N/A,Coffee shop,N/A,Open · Closes 11:30 pm,Dine-in,https://www.google.com/maps/place/Rhythm+Cafe/data=!4m7!3m6!1s0x3a525f00185562dd:0x985a481b7e3fed61!8m2!3d12.961235!4d80.1434894!16s%2Fg%2F11xl145wrk!19sChIJ3WJVGABfUjoRYe0_fhtIWpg?authuser=0&hl=en&rclk=1
Urban Cafe,4.1,487,N/A,N/A,N/A,Open · Closes 11 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Urban+Cafe/data=!4m7!3m6!1s0x3a525fa63779010d:0xa644e6a271082555!8m2!3d12.9408906!4d80.1484309!16s%2Fg%2F11f6dq8l63!19sChIJDQF5N6ZfUjoRVSUIcaLmRKY?authuser=0&hl=en&rclk=1
Leo Coffee,2.8,5,N/A,Coffee shop,N/A,Closed · Opens 9 am Wed,Delivery,https://www.google.com/maps/place/Leo+Coffee/data=!4m7!3m6!1s0x3a525e4d5ea7b9fd:0xb668e328ae87a2e0!8m2!3d12.9524482!4d80.1439971!16s%2Fg%2F1pp2vd72j!19sChIJ_bmnXk1eUjoR4KKHrijjaLY?authuser=0&hl=en&rclk=1
